"Response ID","Date submitted","Last page","Start language","Seed","Rust is important to my work or projects (1 disagree - 5 agree)","Rust will become more important in my work or projects in the future.  (1 disagree - 5 agree)","Rust will become more important to other developers and projects in the future (1 disagree - 5 agree)","I develop software using Rust","As a developer, I use Rust on the following platforms while programming. Choose all that apply. [MacOS]","As a developer, I use Rust on the following platforms while programming. Choose all that apply. [Windows]","As a developer, I use Rust on the following platforms while programming. Choose all that apply. [Linux (Fedora, OpenSUSE, Ubuntu, Arch, etc)]","As a developer, I use Rust on the following platforms while programming. Choose all that apply. [Other Platform]","On your primary development platform, how did you install your Rust toolchain?","The following features or tools are important in my development environment (do not use 1 - use a lot 5).  [Integrated Development Environments with Language Features (syntax highlight, errors, completion, type checking)]","The following features or tools are important in my development environment (do not use 1 - use a lot 5).  [Debugging tools (lldb, gdb)]","The following features or tools are important in my development environment (do not use 1 - use a lot 5).  [Online Documentation (doc.rust-lang.org, docs.rs)]","The following features or tools are important in my development environment (do not use 1 - use a lot 5).  [Offline Documentation (local) ]","The following features or tools are important in my development environment (do not use 1 - use a lot 5).  [Build Caching (sccache)]","Do you run, provide, distribute or deploy Rust software?","Which platforms (operating systems) do you target for Rust software. Check all that apply. [Linux]","Which platforms (operating systems) do you target for Rust software. Check all that apply. [MacOS]","Which platforms (operating systems) do you target for Rust software. Check all that apply. [Windows]","Which platforms (operating systems) do you target for Rust software. Check all that apply. [Rust Library - No specific target (crates.io)]","Which platforms (operating systems) do you target for Rust software. Check all that apply. [Other]","How do you or your team/community build or provide Rust software for people to use? Think about your build pipeline or deployment processes for this question. [Local use only (cargo build / cargo run)]","How do you or your team/community build or provide Rust software for people to use? Think about your build pipeline or deployment processes for this question. [Containers, using rustup inside the builder]","How do you or your team/community build or provide Rust software for people to use? Think about your build pipeline or deployment processes for this question. [Containers, using a packaged rust (dnf, zypper, apt, pacman, etc)]","How do you or your team/community build or provide Rust software for people to use? Think about your build pipeline or deployment processes for this question. [Packaged for a package manager (rpm, deb, brew, msi, pkg, dmg, etc)]","How do you or your team/community build or provide Rust software for people to use? Think about your build pipeline or deployment processes for this question. [Provided as a library (source, crates.io)]","How do you or your team/community build or provide Rust software for people to use? Think about your build pipeline or deployment processes for this question. [Other Process]","How do you or your team/community build or provide Rust software for people to use? Think about your build pipeline or deployment processes for this question. [Unknown]","In your release process, how do you manage your Rust dependencies?","In your ideal workflow, how would you prefer to manager your Rust dependencies? ","How do you manage security updates in your Rust dependencies? [Security scanners (e.g. cargo audit)]","How do you manage security updates in your Rust dependencies? [Frequent update of all dependencies (e.g. cargo outdated)]","How do you manage security updates in your Rust dependencies? [Don't actively follow security issues in dependencies]","How do you manage security updates in your Rust dependencies? [Rely on external source to manage (ie distribution packaged rust libraries)]","How do you manage security updates in your Rust dependencies? [Unknown]"
"81","","","en","1559777182","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"84","1980-01-01 00:00:00","3","en","699719749","4","5","5","Yes","No","Yes","Yes","No","rustup","5","5","5","2","3","Yes","No","No","No","Yes","No","Yes","No","No","No","Yes","No","No","","","No","No","Yes","No","No"
"87","","","en","1311422989","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"90","","","en","241148876","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"93","1980-01-01 00:00:00","3","en","1566018050","5","5","5","Yes","Yes","No","No","No","rustup","5","1","5","1","1","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"96","","","en","170624246","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"102","1980-01-01 00:00:00","3","en","395422046","3","5","5","Yes","No","Yes","No","No","rustup","5","5","5","5","1","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"105","1980-01-01 00:00:00","3","en","436017354","5","4","4","Yes","Yes","Yes","Yes","No","rustup","5","5","5","3","1","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"108","1980-01-01 00:00:00","3","en","1808408691","4","5","5","Yes","No","No","Yes","No","rustup","4","4","5","2","2","Yes","Yes","No","Yes","No","No","Yes","No","Yes","No","No","No","No","Online download from crates.io","Online download from crates.io","No","Yes","No","No","No"
"111","1980-01-01 00:00:00","3","en","399084092","3","4","5","Yes","Yes","No","No","No","rustup","5","3","5","1","1","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"114","1980-01-01 00:00:00","3","en","316056808","4","5","4","Yes","No","No","Yes","No","rustup","5","4","5","3","3","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"117","","","en","1688975918","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"120","1980-01-01 00:00:00","3","en","1980843475","4","3","4","Yes","No","No","Yes","No","Package Manager (dnf, apt, brew, zypper, etc)","5","2","4","2","","Yes","Yes","No","No","Yes","No","Yes","No","Yes","No","Yes","No","No","Online download from crates.io","Satisfied with my existing process","No","Yes","No","No","No"
"123","1980-01-01 00:00:00","3","en","2139994446","5","5","5","Yes","No","Yes","Yes","No","rustup","5","5","5","5","5","Yes","Yes","No","No","No","No","Yes","Yes","No","Yes","Yes","No","No","Vendoring (bundled)","Satisfied with my existing process","Yes","Yes","No","No","No"
"126","1980-01-01 00:00:00","3","en","1059407391","4","5","5","Yes","No","No","Yes","No","Package Manager (dnf, apt, brew, zypper, etc)","5","2","5","1","3","Yes","Yes","No","No","No","No","No","Yes","No","No","No","No","No","Online download from crates.io","Unsure","No","Yes","Yes","No","No"
"129","","","en","1182652551","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"132","","","en","348995480","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"135","1980-01-01 00:00:00","3","en","408229916","5","5","5","Yes","No","No","Yes","Yes","rustup","1","5","5","5","3","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","No","No","","","No","Yes","No","No","No"
"138","","","en","1550673691","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"141","1980-01-01 00:00:00","3","en","1221458703","1","3","5","No","N/A","N/A","N/A","N/A","","","","","","","Yes","No","Yes","No","No","No","No","No","No","Yes","No","No","No","Unsure","Unsure","No","No","No","Yes","No"
"144","1980-01-01 00:00:00","3","en","1580320488","2","5","5","Yes","No","Yes","Yes","No","rustup","5","2","5","1","1","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"147","1980-01-01 00:00:00","3","en","490291078","5","5","5","Yes","No","No","Yes","No","rustup","5","2","5","5","1","Yes","Yes","No","No","No","No","Yes","No","No","No","Yes","No","No","","","No","Yes","No","No","No"
"150","1980-01-01 00:00:00","3","en","847329903","3","5","5","No","N/A","N/A","N/A","N/A","","","","","","","Yes","Yes","No","No","No","No","Yes","No","No","Yes","No","No","No","Vendoring (bundled)","Package Manager provided libraries","No","No","Yes","No","No"
"153","1980-01-01 00:00:00","3","en","2142179969","2","4","3","Yes","Yes","No","Yes","No","rustup","5","5","3","1","3","Yes","Yes","Yes","No","No","No","No","No","No","No","Yes","No","No","","","No","No","Yes","No","No"
"156","1980-01-01 00:00:00","3","en","2117447796","4","5","5","Yes","No","Yes","Yes","No","rustup","5","1","5","1","1","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"159","","1","en","1951123040","5","3","5","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"162","","","en","2113737853","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"165","1980-01-01 00:00:00","3","en","1553272459","5","4","5","Yes","Yes","Yes","Yes","Yes","rustup","4","1","5","2","1","Yes","No","Yes","Yes","Yes","No","Yes","No","No","No","Yes","No","No","","","No","Yes","Yes","No","No"
"168","1980-01-01 00:00:00","3","en","1387695828","5","5","5","Yes","No","No","Yes","No","rustup","4","2","5","1","1","Yes","Yes","No","No","Yes","No","No","Yes","No","Yes","No","No","No","Online download from crates.io","Satisfied with my existing process","Yes","No","No","No","No"
"171","","","en","1012314661","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"177","1980-01-01 00:00:00","3","en","522215240","5","5","5","Yes","No","No","Yes","No","rustup","5","3","5","1","3","Yes","Yes","No","No","No","No","No","No","Yes","No","Yes","No","No","Online download from crates.io","Satisfied with my existing process","No","No","Yes","No","No"
"180","1980-01-01 00:00:00","3","en","1624109413","5","5","4","Yes","No","No","Yes","No","rustup","5","2","5","2","1","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","No","No","No","No","Package Manager provided libraries","Satisfied with my existing process","No","No","Yes","No","No"
"183","1980-01-01 00:00:00","3","en","603480364","1","1","1","Yes","No","No","Yes","No","rustup","3","4","3","5","3","Yes","Yes","No","No","Yes","No","Yes","No","No","No","No","No","No","","","N/A","N/A","N/A","N/A","N/A"
"186","1980-01-01 00:00:00","3","en","2105796261","5","5","5","Yes","No","No","Yes","No","rustup","3","2","4","3","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","Online download from crates.io","Package Manager provided libraries","Yes","Yes","No","No","No"
"189","1980-01-01 00:00:00","3","en","2031725462","3","5","4","Yes","No","No","Yes","No","rustup","4","2","5","4","","Yes","Yes","No","No","No","No","Yes","Yes","No","No","No","No","No","Online download from crates.io","Unsure","No","No","Yes","No","No"
"192","1980-01-01 00:00:00","3","en","1445637990","2","4","4","No","N/A","N/A","N/A","N/A","","","","","","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"195","","","en","334038632","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"198","1980-01-01 00:00:00","3","en","1079040059","3","5","5","Yes","Yes","No","No","No","rustup","5","2","5","1","4","Yes","Yes","Yes","Yes","No","No","No","Yes","No","Yes","No","No","No","Vendoring (bundled)","Satisfied with my existing process","Yes","Yes","No","No","No"
"201","1980-01-01 00:00:00","3","en","2265000","4","4","3","Yes","No","Yes","Yes","No","rustup","5","1","5","5","1","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"204","1980-01-01 00:00:00","3","en","2067279740","3","5","4","No","N/A","N/A","N/A","N/A","","","","","","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"207","1980-01-01 00:00:00","3","en","116106872","5","5","5","Yes","Yes","Yes","Yes","Yes","rustup","5","4","3","4","4","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","Yes","No","Online download from crates.io","Satisfied with my existing process","Yes","Yes","No","No","No"
"210","1980-01-01 00:00:00","3","en","1730616591","5","5","5","Yes","No","No","Yes","No","rustup","5","5","5","4","3","Yes","Yes","No","No","Yes","No","Yes","Yes","No","Yes","Yes","No","No","Online download from crates.io","Satisfied with my existing process","Yes","Yes","No","No","No"
"213","","","en","2065273324","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"216","1980-01-01 00:00:00","3","en","1593131974","1","1","1","No","N/A","N/A","N/A","N/A","","","","","","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"219","1980-01-01 00:00:00","3","en","1522440742","3","4","5","No","N/A","N/A","N/A","N/A","","","","","","","Yes","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","","","N/A","N/A","N/A","N/A","N/A"
"222","","","en","721710735","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"225","","","en","1624540838","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"228","1980-01-01 00:00:00","3","en","1299296622","3","4","4","Yes","No","No","Yes","No","rustup","5","4","4","2","1","Yes","Yes","No","No","No","No","Yes","No","No","No","No","No","No","","","N/A","N/A","N/A","N/A","N/A"
"231","1980-01-01 00:00:00","3","en","1713601840","2","4","5","No","N/A","N/A","N/A","N/A","","","","","","","Yes","Yes","No","No","No","No","Yes","No","No","No","No","No","No","","","N/A","N/A","N/A","N/A","N/A"
"234","1980-01-01 00:00:00","3","en","1594377812","3","5","5","Yes","Yes","Yes","No","No","rustup","5","3","5","1","3","Yes","Yes","No","No","No","No","Yes","Yes","No","No","Yes","No","No","Online download from crates.io","Satisfied with my existing process","No","Yes","No","No","No"
"237","1980-01-01 00:00:00","3","en","2141987061","2","4","5","No","N/A","N/A","N/A","N/A","","","","","","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"240","1980-01-01 00:00:00","3","en","2129600231","1","1","3","No","N/A","N/A","N/A","N/A","","","","","","","Yes","Yes","No","No","No","No","No","No","Yes","No","No","No","No","Unsure","Vendoring (bundled)","No","No","No","No","Yes"
"243","","2","en","1826837281","4","5","5","Yes","Yes","Yes","Yes","No","rustup","5","5","5","5","5","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"246","1980-01-01 00:00:00","3","en","504112663","1","2","4","No","N/A","N/A","N/A","N/A","","","","","","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"249","1980-01-01 00:00:00","3","en","1467008623","1","2","4","No","N/A","N/A","N/A","N/A","","","","","","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"252","","1","en","1831870415","1","1","1","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"255","1980-01-01 00:00:00","3","en","201892656","5","5","5","Yes","No","No","Yes","No","Other manual method","1","1","5","1","3","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"258","1980-01-01 00:00:00","3","en","1745340861","4","4","4","Yes","No","No","Yes","No","rustup","5","2","4","4","1","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"261","","","en","1754184271","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"264","1980-01-01 00:00:00","3","en","1410639004","5","5","5","Yes","No","No","Yes","No","rustup","5","2","4","2","5","Yes","Yes","No","No","No","No","No","Yes","No","No","No","Yes","No","Vendoring (bundled)","Satisfied with my existing process","Yes","Yes","No","No","No"
"267","1980-01-01 00:00:00","3","en","1664384045","4","5","5","Yes","Yes","Yes","Yes","No","rustup","5","2","5","4","1","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Online download from crates.io","Satisfied with my existing process","Yes","Yes","No","No","No"
"270","1980-01-01 00:00:00","3","en","1359178770","5","4","5","Yes","Yes","Yes","No","No","rustup","5","3","5","3","4","Yes","Yes","Yes","Yes","No","No","Yes","No","No","Yes","No","No","No","Online download from crates.io","Online download from crates.io","Yes","Yes","No","No","No"
"273","1980-01-01 00:00:00","3","en","1958740283","3","5","5","Yes","No","No","Yes","No","rustup","4","4","5","5","1","Yes","Yes","No","No","No","No","Yes","No","No","No","No","No","No","","","N/A","N/A","N/A","N/A","N/A"
"276","","","en","356344089","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"279","1980-01-01 00:00:00","3","en","317241656","5","5","5","Yes","No","No","Yes","Yes","rustup","3","1","5","3","2","Yes","Yes","No","No","Yes","No","Yes","Yes","No","No","No","Yes","No","Vendoring (bundled)","Vendoring (bundled)","No","Yes","No","No","No"
